"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "YAML", "XML", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio-reset\src\app\fonts.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\Nextjs-projects\icstudio-reset\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 5, 131
"e:\Projects\Nextjs-projects\icstudio-reset\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"e:\Projects\Nextjs-projects\icstudio-reset\src\app\news\2025-04-17-Loome-Result.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 354, 0, 0, 14, 21, 389
"e:\Projects\Nextjs-projects\icstudio-reset\src\app\news\2025-04-17-Loome-Result\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 3, 16
"e:\Projects\Nextjs-projects\icstudio-reset\src\app\news\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"e:\Projects\Nextjs-projects\icstudio-reset\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 5, 9, 109
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\anime\FuzzyText\FuzzyText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 5, 34, 200
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\anime\GridDistortion\GridDistortion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 5, 31, 215
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\anime\Magnet\Magnet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 3, 13, 91
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\anime\RotatingText\RotatingText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 3, 18, 251
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\anime\ScrollFloat\ScrollFloat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 3, 11, 92
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\anime\TextPressure\TextPressure.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 3, 32, 220
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\bg\hero-bg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 14, 40, 195
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\bg\starry-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 10, 21, 109
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\logo\nav-logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 36, 9, 97
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\magicui\orbiting-circles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 3, 72
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 4, 19
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 1, 6, 33
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 17, 198
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\wavy-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 5, 8, 137
"e:\Projects\Nextjs-projects\icstudio-reset\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Nextjs-projects\icstudio-reset\src\store\theme-store.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 18, 19, 163
"e:\Projects\Nextjs-projects\icstudio-reset\tailwind.config.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 3, 76
"e:\Projects\Nextjs-projects\icstudio-reset\tsconfig.json", "JSON with Comments", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 23, 28, 214, 16, 5880, 4213, 554, 5209, 126, 234, 437, 1808, 18742
